done,#,term_ar,id,category,handshape,location,motion,orientation,hands,target,recorded,remaining,warning,notes
,33,مترجم,interpreter,الصمم والتواصل,كف مسطّح,الفم,دائرية,للأمام,1,30,0,30,,
✔,34,اسم,name,الصمم والتواصل,سبابة+وسطى,أمام الجسم,التقاء,لأسفل,2,30,30,0,,
,35,أفهم,understand,الصمم والتواصل,سبابة,الصدغ,لأعلى,نحو الجسم,1,30,0,30,,
,36,لا أفهم,not_understand,الصمم والتواصل,سبابة,الصدغ,جانبية,نحو الجسم,1,30,0,30,,
,37,أعد,repeat,الصمم والتواصل,كف منثنٍ,كف اليد الأخرى,قوسية,لأعلى,2,30,0,30,,
,38,ماء,water,احتياجات يومية,ثلاثة أصابع,الفم,نقر,جانبي,1,30,0,30,,
,39,أكل,eat,احتياجات يومية,أطراف الأصابع,الفم,نقر,نحو الجسم,1,30,0,30,,
,40,أشرب,drink,احتياجات يومية,كف مقوّس,الفم,قوسية,نحو الجسم,1,30,0,30,,
,41,نوم,sleep,احتياجات يومية,كف مسطّح,الخد,ثابتة,جانبي,1,30,0,30,ثابتة — احملها ثانية كاملة,
,42,دورة مياه,toilet,احتياجات يومية,قبضة,أمام الجسم,اهتزاز,للأمام,1,30,0,30,,
,43,بيت,home,احتياجات يومية,كف مسطّح,أمام الجسم,التقاء,لأسفل,2,30,0,30,,
,44,مساعدة,help,احتياجات يومية,قبضة,كف اليد الأخرى,لأعلى,لأعلى,2,30,0,30,,
,45,أريد,want,احتياجات يومية,كف مقوّس,الصدر,للخلف,لأعلى,2,30,0,30,,
,46,لا أريد,dont_want,احتياجات يومية,كف مقوّس,الصدر,للأمام,لأسفل,2,30,0,30,,
,47,جوعان,hungry,احتياجات يومية,كف مقوّس,البطن,لأسفل,نحو الجسم,1,30,0,30,,
,48,عطشان,thirsty,احتياجات يومية,سبابة,الحلق,لأسفل,نحو الجسم,1,30,0,30,,
,49,انتظر,wait,احتياجات يومية,كف مفتوح,أمام الجسم,تلويح,لأعلى,2,30,0,30,,
,50,بخير,fine,مشاعر وحالة,إبهام,الصدر,لأعلى,نحو الجسم,1,30,0,30,,
,51,سعيد,happy,مشاعر وحالة,كف مسطّح,الصدر,لأعلى,نحو الجسم,2,30,0,30,,
,52,حزين,sad,مشاعر وحالة,كف مفتوح,العينان,لأسفل,نحو الجسم,2,30,0,30,,
,53,غاضب,angry,مشاعر وحالة,أصابع مخلبية,الصدر,لأعلى,نحو الجسم,1,30,0,30,,
,54,خائف,afraid,مشاعر وحالة,كف مفتوح,الصدر,للخلف,للأمام,2,30,0,30,,
,55,تعبان,tired,مشاعر وحالة,كف منثنٍ,الكتف,لأسفل,نحو الجسم,2,30,0,30,,
,56,مريض,sick,مشاعر وحالة,كف منثنٍ,الجبهة,ثابتة,نحو الجسم,1,30,0,30,ثابتة — احملها ثانية كاملة,
,57,أحب,love,مشاعر وحالة,قبضة,الصدر,التقاء,نحو الجسم,2,30,0,30,,
,58,جيد,good,مشاعر وحالة,كف مسطّح,الذقن,للأمام,لأعلى,1,30,0,30,,
,59,سيئ,bad,مشاعر وحالة,كف مسطّح,الذقن,لأسفل,لأسفل,1,30,0,30,,
,60,اليوم,today,الوقت,سبابة,أمام الجسم,لأسفل,لأسفل,1,30,0,30,,
,61,أمس,yesterday,الوقت,إبهام,الكتف,للخلف,نحو الجسم,1,30,0,30,,
,62,غداً,tomorrow,الوقت,إبهام,الخد,للأمام,جانبي,1,30,0,30,,
,63,الآن,now,الوقت,كف منثنٍ,أمام الجسم,لأسفل,لأعلى,2,30,0,30,,
,64,ساعة,hour,الوقت,سبابة,معصم اليد الأخرى,دائرية,لأسفل,1,30,0,30,,
,65,دقيقة,minute,الوقت,سبابة,كف اليد الأخرى,للأمام,جانبي,2,30,0,30,,
,66,يوم,day,الوقت,سبابة,أمام الجسم,قوسية,للأمام,1,30,0,30,,
,67,أسبوع,week,الوقت,سبابة,كف اليد الأخرى,جانبية,لأسفل,2,30,0,30,,
,68,شهر,month,الوقت,سبابة,أمام الجسم,لأسفل,جانبي,2,30,0,30,,
,69,سنة,year,الوقت,قبضة,أمام الجسم,دائرية,جانبي,2,30,0,30,,
,70,واحد,num_1,أرقام,سبابة,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,71,اثنان,num_2,أرقام,سبابة+وسطى,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,72,ثلاثة,num_3,أرقام,ثلاثة أصابع,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,73,أربعة,num_4,أرقام,أربعة أصابع,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,74,خمسة,num_5,أرقام,كف مفتوح,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,75,ستة,num_6,أرقام,إبهام+سبابة,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,76,سبعة,num_7,أرقام,أطراف الأصابع,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,77,ثمانية,num_8,أرقام,أصابع مخلبية,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,78,تسعة,num_9,أرقام,سبابة معقوفة,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,79,عشرة,num_10,أرقام,قبضة,أمام الجسم,ثابتة,للأمام,1,30,0,30,ثابتة — احملها ثانية كاملة,
,80,مستشفى,hospital,أماكن وتنقّل,سبابة+وسطى,الكتف,التقاء,نحو الجسم,1,30,0,30,,
,81,صيدلية,pharmacy,أماكن وتنقّل,إبهام+سبابة,كف اليد الأخرى,نقر,لأسفل,2,30,0,30,,
,82,مدرسة,school,أماكن وتنقّل,كف مسطّح,كف اليد الأخرى,نقر,لأسفل,2,30,0,30,,
,83,عمل,work,أماكن وتنقّل,قبضة,معصم اليد الأخرى,نقر,لأسفل,2,30,0,30,,
,84,سوق,market,أماكن وتنقّل,كف مسطّح,أمام الجسم,تبادل اليدين,لأعلى,2,30,0,30,,
,85,مسجد,mosque,أماكن وتنقّل,كف مسطّح,أمام الجسم,قوسية,لأسفل,2,30,0,30,,
,86,سيارة,car,أماكن وتنقّل,قبضة,أمام الجسم,تبادل اليدين,نحو الجسم,2,30,0,30,,
,87,طريق,road,أماكن وتنقّل,كف مسطّح,أمام الجسم,للأمام,جانبي,2,30,0,30,,
,88,أذهب,go,أماكن وتنقّل,سبابة,أمام الجسم,للأمام,للأمام,1,30,0,30,,
,89,طوارئ,emergency,طوارئ وصحة,كف مفتوح,الكتف,اهتزاز,للأمام,2,30,0,30,أدِّها بسرعة — السرعة جزء من المعنى,
,90,إسعاف,ambulance,طوارئ وصحة,قبضة,الكتف,دائرية,للأمام,1,30,0,30,أدِّها بسرعة — السرعة جزء من المعنى,
,91,شرطة,police,طوارئ وصحة,كف مسطّح,الصدر,نقر,نحو الجسم,1,30,0,30,,
,92,حريق,fire,طوارئ وصحة,أصابع مخلبية,أمام الجسم,لأعلى,نحو الجسم,2,30,0,30,,
,93,طبيب,doctor,طوارئ وصحة,سبابة+وسطى,معصم اليد الأخرى,ثابتة,لأسفل,2,30,0,30,ثابتة — احملها ثانية كاملة,
,94,دواء,medicine,طوارئ وصحة,كف منثنٍ,كف اليد الأخرى,دائرية,لأسفل,2,30,0,30,,
,95,ألم,pain,طوارئ وصحة,سبابة,أمام الجسم,اهتزاز,نحو الجسم,2,30,0,30,,
,96,ساعدني فوراً,help_now,طوارئ وصحة,قبضة,نحو المخاطَب,للخلف,لأعلى,2,30,0,30,أدِّها بسرعة — السرعة جزء من المعنى,
,97,تعال,come,أفعال وأوامر,سبابة,نحو المخاطَب,للخلف,لأعلى,1,30,0,30,,
,98,اجلس,sit,أفعال وأوامر,سبابة+وسطى,كف اليد الأخرى,لأسفل,لأسفل,2,30,0,30,,
,99,توقف,stop,أفعال وأوامر,كف مسطّح,كف اليد الأخرى,التقاء,جانبي,2,30,0,30,,
,100,أعطني,give_me,أفعال وأوامر,كف مسطّح,نحو المخاطَب,للخلف,لأعلى,1,30,0,30,,
